@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
5.694E2,1.484E-1,?,4.5E4,8.888E-4,1.616E-1,?,1.07E3,?,?,?,-9.566E-1,7.634E-1,-4.281E-1,-1.362E-1,2.092E-1,-1.439E-1,-2.086E-2,2.167E-1,1.353E-1,0E0,2.918E0,1.261E3,1.83E6,5.886E9,3.382E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.675E2,7.239E-2,6.849E-3,3.895E4,7.976E-4,1.646E-1,?,1.347E3,?,?,?,-9.62E-1,6.718E-1,-3.052E-1,6.354E-2,4.251E-1,-2.897E-1,-4.81E-2,1.543E-1,1.543E-1,0E0,2.447E0,1.472E3,2.644E6,8.373E9,4.909E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.687E2,1.442E-1,3.643E-3,4.205E4,7.075E-4,1.324E-1,?,1.164E3,?,?,?,-9.566E-1,6.529E-1,-3.428E-1,-4.627E-2,4.135E-1,-2.196E-1,-2.315E-2,1.156E-1,5.749E-3,0E0,2.558E0,1.38E3,2.312E6,7.622E9,4.451E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
6.575E2,1.573E-1,3.611E-3,4.006E4,8.04E-4,1.548E-1,?,1.075E3,?,?,?,-9.563E-1,8.086E-1,-3.414E-1,-9.317E-2,2.212E-1,-1.776E-1,-7.079E-2,1.237E-1,1.467E-1,0E0,2.87E0,1.308E3,1.953E6,6.6E9,3.793E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
2.351E2,4.358E-2,5.062E-3,5.109E4,2.125E-4,8.385E-2,?,5.95E2,?,?,?,-9.793E-1,7.745E-1,-3.187E-2,-1.678E-1,-3.359E-2,5.591E-2,1.004E-1,1.644E-1,1.875E-1,0E0,5.178E-1,1.195E3,3.179E6,1.203E10,6.867E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.741E2,5.957E-2,1.207E-3,4.655E4,4.391E-4,7.745E-2,?,1.372E3,?,?,?,-9.364E-1,5.757E-1,-4.46E-1,-2.336E-1,2.39E-1,-2.058E-1,4.629E-2,3.383E-1,1.176E-1,0E0,1.443E0,1.664E3,2.929E6,8.057E9,4.943E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
2.291E2,2.979E-2,1.484E-3,5.466E4,1.29E-4,3.137E-2,?,7.4E2,?,?,?,-9.692E-1,4.294E-1,-1.664E-1,-2.149E-1,-1.2E-1,-1.147E-1,-6.004E-2,9.156E-2,7.685E-2,0E0,3.237E-1,1.651E3,4.032E6,1.212E10,7.149E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
7.328E2,1.992E-1,1.756E-3,3.116E4,4.567E-4,1.493E-1,?,1.136E3,?,?,?,-9.573E-1,7.175E-1,-3.752E-1,-4.898E-2,3.179E-1,-2.147E-1,8.581E-2,3.033E-1,2.266E-1,0E0,1.787E0,1.637E3,2.633E6,7.794E9,4.723E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.609E2,6.616E-2,2.896E-3,4.53E4,6.963E-4,1.398E-1,?,2.038E3,?,?,?,-9.525E-1,5.934E-1,-2.865E-1,3.711E-2,4.652E-1,-2.262E-1,-2.167E-2,2.522E-1,1.517E-1,0E0,1.925E0,1.45E3,2.45E6,7.972E9,4.612E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
6.837E2,1.598E-1,2.37E-3,4.673E4,5.547E-4,1.151E-1,?,1.727E3,?,?,?,-9.424E-1,7.417E-1,-3.211E-1,-4.98E-2,2.604E-1,-2.553E-1,-6.592E-2,1.714E-1,6.007E-2,0E0,1.9E0,1.481E3,2.182E6,6.997E9,4.044E13,-6.683E2,4.049E0,1.112E-1,7.572E0,-1.11E0,1.503E0,4.289E0,-5.345E0,-1.468E-1,1.883E1,augusta.wav
