@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
5.694E2,1.484E-1,?,4.5E4,8.888E-4,1.616E-1,?,1.07E3,?,?,?,-9.566E-1,7.634E-1,-4.281E-1,-1.362E-1,2.092E-1,-1.439E-1,-2.086E-2,2.167E-1,1.353E-1,0E0,2.918E0,1.261E3,1.83E6,5.886E9,3.382E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.558E2,7.275E-2,7.684E-3,4.51E4,8.719E-4,1.643E-1,?,1.365E3,?,?,?,-9.613E-1,6.694E-1,-3.068E-1,5.991E-2,4.256E-1,-2.871E-1,-5.729E-2,1.359E-1,1.501E-1,0E0,2.512E0,1.407E3,2.433E6,7.857E9,4.581E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
6.512E2,1.576E-1,4.007E-3,3.509E4,5.639E-4,1.536E-1,?,1.263E3,?,?,?,-9.609E-1,6.956E-1,-3.185E-1,-1.573E-2,4.035E-1,-2.215E-1,-2.32E-2,1.195E-1,2.778E-2,0E0,2.283E0,1.628E3,2.851E6,8.454E9,5.103E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
7.125E2,1.573E-1,1.649E-3,3.505E4,5.16E-4,1.482E-1,?,1.022E3,?,?,?,-9.56E-1,8.047E-1,-3.254E-1,-7.686E-2,2.246E-1,-2.043E-1,-9.321E-2,9.531E-2,1.497E-1,0E0,2.006E0,1.389E3,2.208E6,7.343E9,4.237E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
4.552E2,5.652E-2,3.186E-3,4.205E4,6.555E-4,1.325E-1,?,8.49E2,?,?,?,-9.699E-1,8.394E-1,-3.022E-1,-2.107E-1,8.576E-2,4.721E-2,3.403E-2,1.359E-1,1.438E-1,0E0,1.636E0,1.103E3,1.872E6,7.104E9,4.065E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
3.124E2,4.333E-2,2.938E-3,4.776E4,2.342E-4,6.436E-2,?,8.39E2,?,?,?,-9.406E-1,5.399E-1,-4.793E-1,-3.264E-1,1.872E-1,-1.855E-1,4.513E-2,3.692E-1,1.896E-1,0E0,6.838E-1,1.515E3,3.339E6,1.008E10,5.977E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
7.182E2,1.964E-1,4.133E-4,4.106E4,2.546E-4,7.19E-2,?,1.386E3,?,?,?,-9.335E-1,5.878E-1,-4.432E-1,-2.623E-1,2.082E-1,-1.627E-1,4.924E-2,3.28E-1,1.043E-1,0E0,1.036E0,1.658E3,2.82E6,8.176E9,4.78E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
1.801E2,2.563E-2,4.354E-4,4.874E4,1.418E-4,2.803E-2,?,6.7E2,?,?,?,-9.798E-1,2.514E-1,-1.013E-1,-9.329E-2,-3.682E-2,-3.419E-2,2.761E-3,1.035E-1,9.893E-2,0E0,3.049E-1,1.527E3,4.196E6,1.372E10,8.008E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
6.45E2,1.798E-1,3.894E-3,3.811E4,6.718E-4,1.497E-1,?,1.544E3,?,?,?,-9.524E-1,6.639E-1,-3.586E-1,-1.543E-2,3.692E-1,-2.896E-1,5.599E-2,3.074E-1,2.434E-1,0E0,2.361E0,1.54E3,2.466E6,7.522E9,4.49E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.609E2,6.616E-2,3.528E-3,4.53E4,6.963E-4,1.398E-1,?,2.038E3,?,?,?,-9.525E-1,5.934E-1,-2.865E-1,3.711E-2,4.652E-1,-2.262E-1,-2.167E-2,2.522E-1,1.517E-1,0E0,1.925E0,1.45E3,2.45E6,7.972E9,4.612E13,-6.536E2,4.07E0,-1.359E-1,7.704E0,-6.462E-1,-5.51E-1,4.232E0,-9.765E0,3.261E-1,1.86E-1,augusta.wav
7.853E2,1.683E-1,2.211E-3,4.329E4,5.741E-4,1.16E-1,?,1.924E3,?,?,?,-9.364E-1,6.922E-1,-3.041E-1,-2.662E-2,3.21E-1,-3.002E-1,-7.88E-2,1.817E-1,5.353E-2,0E0,2.097E0,1.512E3,2.125E6,6.776E9,3.903E13,-6.824E2,8.249E0,-1.12E-1,-1.855E1,-1.2E0,5.051E-2,2.368E2,-3.504E1,4.756E-1,1.021E1,augusta.wav
