@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
5.694E2,1.484E-1,?,4.5E4,8.888E-4,1.616E-1,?,1.07E3,?,?,?,-9.566E-1,7.634E-1,-4.281E-1,-1.362E-1,2.092E-1,-1.439E-1,-2.086E-2,2.167E-1,1.353E-1,0E0,2.918E0,1.261E3,1.83E6,5.886E9,3.382E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.591E2,6.665E-2,5.629E-3,3.887E4,7.153E-4,1.635E-1,?,1.238E3,?,?,?,-9.64E-1,7.02E-1,-3.03E-1,5.115E-2,3.88E-1,-2.815E-1,-2.937E-2,1.903E-1,1.468E-1,0E0,2.345E0,1.472E3,2.728E6,8.685E9,5.089E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.001E2,1.074E-1,3.283E-3,3.866E4,6.696E-4,1.325E-1,?,1.196E3,?,?,?,-9.498E-1,6.859E-1,-3.385E-1,-5.23E-2,3.824E-1,-2.665E-1,-7.366E-2,8.451E-2,-5.364E-3,0E0,2.068E0,1.166E3,1.898E6,6.83E9,3.921E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.152E2,9.363E-2,2.494E-3,4.533E4,7.343E-4,1.566E-1,?,1.015E3,?,?,?,-9.625E-1,8.083E-1,-3.339E-1,-9.187E-2,2.196E-1,-1.4E-1,-4.326E-2,1.228E-1,1.869E-1,0E0,2.243E0,1.139E3,1.694E6,6.104E9,3.482E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
3.124E2,4.333E-2,3.913E-3,4.776E4,2.342E-4,6.436E-2,?,8.39E2,?,?,?,-9.406E-1,5.399E-1,-4.793E-1,-3.264E-1,1.872E-1,-1.855E-1,4.513E-2,3.692E-1,1.896E-1,0E0,6.838E-1,1.515E3,3.339E6,1.008E10,5.977E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
6.808E2,2.001E-1,2.889E-4,4.793E4,1.791E-4,5.713E-2,?,1.177E3,?,?,?,-9.504E-1,5.86E-1,-3.238E-1,-1.28E-1,1.794E-1,-1.645E-1,-2.461E-2,2.039E-1,1.586E-1,0E0,7.126E-1,1.78E3,3.043E6,8.467E9,4.987E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
3.805E2,6.067E-2,1.309E-4,5.655E4,1.262E-4,5.812E-2,?,8.68E2,?,?,?,-9.116E-1,6.166E-1,-4.077E-1,-2.209E-1,3.154E-1,-2.706E-1,-9.373E-2,1.077E-1,2.972E-1,0E0,4.045E-1,1.712E3,3.581E6,1.029E10,6.191E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
5.674E2,6.592E-2,6.179E-3,4.316E4,8.625E-4,1.834E-1,?,1.755E3,?,?,?,-9.615E-1,7.014E-1,-3.093E-1,4.717E-2,3.696E-1,-2.783E-1,6.155E-2,3.272E-1,1.643E-1,0E0,2.481E0,1.521E3,2.616E6,8.207E9,4.805E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
7.853E2,1.683E-1,3.619E-3,4.329E4,5.741E-4,1.16E-1,?,1.924E3,?,?,?,-9.364E-1,6.922E-1,-3.041E-1,-2.662E-2,3.21E-1,-3.002E-1,-7.88E-2,1.817E-1,5.353E-2,0E0,2.097E0,1.512E3,2.125E6,6.776E9,3.903E13,?,?,?,?,?,?,?,?,?,?,augusta.wav
3.05E2,3.723E-2,2.899E-3,5.011E4,9.889E-5,2.418E-2,?,9.56E2,?,?,?,-9.628E-1,3.598E-1,-7.161E-2,-1.33E-1,-5.408E-2,-2.358E-2,3.512E-2,4.336E-2,2.555E-2,0E0,2.807E-1,1.905E3,4.27E6,1.152E10,6.986E13,-7E2,3.941E0,-5.078E-2,7.807E0,-5.843E-1,2.933E-1,4.68E0,-6.183E0,7.967E-2,8.716E0,augusta.wav
