@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
1.098E1,8.594E-2,?,1.449E3,2.306E-3,7.83E-2,?,3E1,?,?,?,-9.806E-1,7.108E-1,2.631E-1,6.939E-2,-3.784E-2,-8.011E-2,-7.703E-2,-9.567E-2,-3.111E-2,0E0,2.222E-1,2.998E1,2.094E3,2.855E5,5.173E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
7.254E0,5.078E-2,4.031E-4,1.251E3,1.655E-3,5.694E-2,?,1.5E1,?,?,?,-9.87E-1,4.132E-1,1.399E-1,1.627E-1,7.033E-2,4.144E-2,7.533E-2,-4.961E-2,3.914E-2,0E0,1.353E-1,3.003E1,2.52E3,3.316E5,5.906E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
7.444E0,5.469E-2,1.761E-4,1.573E3,1.352E-3,4.927E-2,?,1.3E1,?,?,?,-9.889E-1,3.437E-1,2.709E-1,2.115E-1,1.585E-1,4.678E-2,6.734E-2,-3.27E-2,-3.612E-2,0E0,1.145E-1,3.276E1,2.995E3,3.893E5,6.996E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
7.762E0,5.078E-2,1.695E-4,1.472E3,9.239E-4,3.74E-2,?,1.8E1,?,?,?,-9.862E-1,3.084E-1,1.984E-1,2.3E-1,1.317E-1,1.183E-1,7.506E-2,7.551E-2,-1.669E-2,0E0,8.472E-2,3.583E1,3.214E3,3.898E5,6.897E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
1.051E1,5.859E-2,1.289E-4,1.572E3,1.001E-3,3.501E-2,?,2.1E1,?,?,?,-9.809E-1,3.831E-1,1.855E-1,1.967E-1,1.558E-1,2.127E-1,6.277E-2,-9.083E-3,4.681E-3,0E0,1.04E-1,3.57E1,2.915E3,3.544E5,6.271E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
1.088E1,7.422E-2,1.243E-4,1.358E3,1.256E-3,5.57E-2,?,2.1E1,?,?,?,-9.851E-1,5.838E-1,3.496E-1,2.11E-1,4.174E-2,7.224E-2,-1.117E-1,-1.152E-1,-6.806E-2,0E0,1.35E-1,3.221E1,2.489E3,3.243E5,5.793E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
6.583E0,3.906E-2,6.486E-4,1.447E3,2.331E-3,8.583E-2,?,1.9E1,?,?,?,-9.896E-1,5.086E-1,3.087E-1,2.124E-1,4.5E-2,3.787E-2,-4.354E-2,-2.442E-2,-6.946E-2,0E0,1.859E-1,2.607E1,2.174E3,3.085E5,5.681E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
8.41E0,6.641E-2,3.416E-4,1.392E3,2.065E-3,9.474E-2,?,1.9E1,?,?,?,-9.851E-1,3.054E-1,2.009E-1,1.41E-1,7.537E-2,2.53E-2,1.012E-2,4.021E-3,-5.746E-2,0E0,1.819E-1,2.927E1,2.371E3,3.254E5,5.861E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
1.168E1,8.984E-2,3.722E-4,1.552E3,1.829E-3,8.451E-2,?,2.5E1,?,?,?,-9.876E-1,6.949E-1,2.911E-1,7.019E-2,-4.806E-2,-1.27E-1,-2.205E-1,-1.42E-1,-7.625E-2,0E0,1.807E-1,3.264E1,2.355E3,3.111E5,5.606E7,?,?,?,?,?,?,?,?,?,?,augusta.wav
9.294E0,6.25E-2,4.984E-4,1.451E3,2.07E-3,7.546E-2,?,2.6E1,?,?,?,-9.829E-1,6.798E-1,2.233E-1,1.268E-1,-2.318E-2,-4.411E-2,-4.002E-2,2.439E-2,-8.367E-2,0E0,1.893E-1,2.799E1,2.026E3,2.73E5,4.864E7,-1.091E3,4.479E0,-2.181E-1,7.827E0,-4.961E-1,-4.956E-2,-6.144E-1,-1.32E1,6.425E-1,7.102E0,augusta.wav
